"[total steps]	741	741	741	741	2902	2902	2902	2902	7236	7236	7236	7236",,,,,,,,,,,,
"												",,,,,,,,,,,,
"BehaviorSpace results (NetLogo 7.0.2)	Spreadsheet version 2.0											",,,,,,,,,,,,
"Virus on a Network.nlogox												",,,,,,,,,,,,
"recovery-chance												",,,,,,,,,,,,
"12/03/2025 14:25:02:154 +0800												",,,,,,,,,,,,
"min-pxcor	max-pxcor	min-pycor	max-pycor									",,,,,,,,,,,,
"-20	20	-20	20									",,,,,,,,,,,,
"[run number]	1	1	1	1	2	2	2	2	3	3	3	3",,,,,,,,,,,,
"initial-outbreak-size	3				3				3			",,,,,,,,,,,,
"number-of-nodes	150				150				150			",,,,,,,,,,,,
"average-node-degree	6				6				6			",,,,,,,,,,,,
"virus-spread-chance	2.5				2.5				2.5			",,,,,,,,,,,,
"virus-check-frequency	1				1				1			",,,,,,,,,,,,
"recovery-chance	2.5				5				7.5			",,,,,,,,,,,,
"gain-resistance-chance	5				5				5			",,,,,,,,,,,,
"[reporter]	[step]	count turtles with [infected?]	count turtles with [resistant?]	ticks	[step]	count turtles with [infected?]	count turtles with [resistant?]	ticks	[step]	count turtles with [infected?]	count turtles with [resistant?]	ticks",,,,,,,,,,,,
"[final]	2103	0	84	2103	1071	0	55	1071	43	0	3	43",,,,,,,,,,,,
"[min]	0	0	0	0	0	0	0	0	0	0	0	0",,,,,,,,,,,,
"[max]	2103	110	84	2103	1071	64	55	1071	43	10	3	43",,,,,,,,,,,,
"[mean]	1051.5	28.122623574144487	65.96815589353612	1051.5	535.5	22.17070895522388	30.28917910447761	535.5	21.5	4.7727272727272725	0.5681818181818182	21.5",,,,,,,,,,,,
"[total steps]	2103	2103	2103	2103	1071	1071	1071	1071	43	43	43	43",,,,,,,,,,,,
"												",,,,,,,,,,,,
"BehaviorSpace results (NetLogo 7.0.2)	Spreadsheet version 2.0											",,,,,,,,,,,,
"Virus on a Network.nlogox												",,,,,,,,,,,,
"recovery-chance (copy)												",,,,,,,,,,,,
"12/03/2025 14:27:50:490 +0800												",,,,,,,,,,,,
"min-pxcor	max-pxcor	min-pycor	max-pycor									",,,,,,,,,,,,
"-20	20	-20	20									",,,,,,,,,,,,
"[run number]	1	1	1	1	2	2	2	2	3	3	3	3",,,,,,,,,,,,
"initial-outbreak-size	3				3				3			",,,,,,,,,,,,
"number-of-nodes	150				150				150			",,,,,,,,,,,,
"average-node-degree	6				6				6			",,,,,,,,,,,,
"virus-spread-chance	2.5				2.5				2.5			",,,,,,,,,,,,
"virus-check-frequency	1				1				1			",,,,,,,,,,,,
"recovery-chance	5				5				5			",,,,,,,,,,,,
"gain-resistance-chance	5				10				15			",,,,,,,,,,,,
"[reporter]	[step]	count turtles with [infected?]	count turtles with [resistant?]	ticks	[step]	count turtles with [infected?]	count turtles with [resistant?]	ticks	[step]	count turtles with [infected?]	count turtles with [resistant?]	ticks",,,,,,,,,,,,
"[final]	973	0	69	973	944	0	58	944	606	0	81	606",,,,,,,,,,,,
"[min]	0	0	0	0	0	0	0	0	0	0	0	0",,,,,,,,,,,,
"[max]	973	60	69	973	944	61	58	944	606	51	81	606",,,,,,,,,,,,
"[mean]	486.5	25.236139630390145	38.71765914	486.5	472	15.588359788359789	36.36402116402117	472	303	16.44975288	52.897858319604616	303",,,,,,,,,,,,
"[total steps]	973	973	973	973	944	944	944	944	606	606	606	606",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BehaviorSpace results (NetLogo 7.0.2),Spreadsheet version 2.0,,,,,,,,,,,
Virus on a Network.nlogox,,,,,,,,,,,,
number-test,,,,,,,,,,,,
12/03/2025 14:09:27:421 +0800,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-20,20,-20,20,,,,,,,,,
[run number],1,1,1,1,2,2,2,2,3,3,3,3
initial-outbreak-size,3,,,,3,,,,3,,,
number-of-nodes,100,,,,150,,,,200,,,
average-node-degree,6,,,,6,,,,6,,,
virus-spread-chance,2.5,,,,2.5,,,,2.5,,,
virus-check-frequency,1,,,,1,,,,1,,,
recovery-chance,5,,,,5,,,,5,,,
gain-resistance-chance,5,,,,5,,,,5,,,
[reporter],[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks
[final],950,0,48,950,1030,0,64,1030,756,0,91,756
[min],0,0,0,0,0,0,0,0,0,0,0,0
[max],950,58,48,950,1030,59,64,1030,756,76,91,756
[mean],475,20.18401682,27.90010515,475,515,21.77109602,34.26770126,515,378,37.63672391,45.58652576,378
[total steps],950,950,950,950,1030,1030,1030,1030,756,756,756,756
,,,,,,,,,,,,
BehaviorSpace results (NetLogo 7.0.2),Spreadsheet version 2.0,,,,,,,,,,,
Virus on a Network.nlogox,,,,,,,,,,,,
initial-test,,,,,,,,,,,,
12/03/2025 14:12:12:547 +0800,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-20,20,-20,20,,,,,,,,,
[run number],1,1,1,1,2,2,2,2,3,3,3,3
initial-outbreak-size,1,,,,3,,,,10,,,
number-of-nodes,150,,,,150,,,,150,,,
average-node-degree,6,,,,6,,,,6,,,
virus-spread-chance,2.5,,,,2.5,,,,2.5,,,
virus-check-frequency,1,,,,1,,,,1,,,
recovery-chance,5,,,,5,,,,5,,,
gain-resistance-chance,5,,,,5,,,,5,,,
[reporter],[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks
[final],805,0,58,805,864,0,48,864,967,0,72,967
[min],0,0,0,0,0,0,0,0,0,0,0,0
[max],805,61,58,805,864,44,48,864,967,56,72,967
[mean],402.5,27.71091811,35.94044665,402.5,432,18.50289017,30.47745665,432,483.5,24.70661157,42.77169421,483.5
[total steps],805,805,805,805,864,864,864,864,967,967,967,967
,,,,,,,,,,,,
BehaviorSpace results (NetLogo 7.0.2),Spreadsheet version 2.0,,,,,,,,,,,
Virus on a Network.nlogox,,,,,,,,,,,,
average,,,,,,,,,,,,
12/03/2025 14:17:18:841 +0800,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-20,20,-20,20,,,,,,,,,
[run number],1,1,1,1,2,2,2,2,3,3,3,3
initial-outbreak-size,3,,,,3,,,,3,,,
number-of-nodes,150,,,,150,,,,150,,,
average-node-degree,3,,,,6,,,,9,,,
virus-spread-chance,2.5,,,,2.5,,,,2.5,,,
virus-check-frequency,1,,,,1,,,,1,,,
recovery-chance,5,,,,5,,,,5,,,
gain-resistance-chance,5,,,,5,,,,5,,,
[reporter],[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks
[final],52,0,1,52,956,0,58,956,794,0,80,794
[min],0,0,0,0,0,0,0,0,0,0,0,0
[max],52,7,1,52,956,74,58,956,794,94,80,794
[mean],26,3.981132075,0.075472,26,478,22.07628004,36.99477534,478,397,43.7836478,51.65031447,397
[total steps],52,52,52,52,956,956,956,956,794,794,794,794
,,,,,,,,,,,,
BehaviorSpace results (NetLogo 7.0.2),Spreadsheet version 2.0,,,,,,,,,,,
Virus on a Network.nlogox,,,,,,,,,,,,
virus-spread-chance,,,,,,,,,,,,
12/03/2025 14:19:40:614 +0800,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-20,20,-20,20,,,,,,,,,
[run number],1,1,1,1,2,2,2,2,3,3,3,3
initial-outbreak-size,3,,,,3,,,,3,,,
number-of-nodes,150,,,,150,,,,150,,,
average-node-degree,6,,,,6,,,,6,,,
virus-spread-chance,2.5,,,,5,,,,7.5,,,
virus-check-frequency,1,,,,1,,,,1,,,
recovery-chance,5,,,,5,,,,5,,,
gain-resistance-chance,5,,,,5,,,,5,,,
[reporter],[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks
[final],1012,0,65,1012,838,0,84,838,902,0,104,902
[min],0,0,0,0,0,0,0,0,0,0,0,0
[max],1012,70,65,1012,838,111,84,838,902,121,104,902
[mean],506,23.24086871,44.4225074,506,419,37.85816448,58.92491061,419,451,43.21040975,67.48504983,451
[total steps],1012,1012,1012,1012,838,838,838,838,902,902,902,902
,,,,,,,,,,,,
BehaviorSpace results (NetLogo 7.0.2),Spreadsheet version 2.0,,,,,,,,,,,
Virus on a Network.nlogox,,,,,,,,,,,,
virus-check-frequency,,,,,,,,,,,,
12/03/2025 14:21:44:658 +0800,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
-20,20,-20,20,,,,,,,,,
[run number],1,1,1,1,2,2,2,2,3,3,3,3
initial-outbreak-size,3,,,,3,,,,3,,,
number-of-nodes,150,,,,150,,,,150,,,
average-node-degree,6,,,,6,,,,6,,,
virus-spread-chance,2.5,,,,2.5,,,,2.5,,,
virus-check-frequency,1,,,,3,,,,5,,,
recovery-chance,5,,,,5,,,,5,,,
gain-resistance-chance,5,,,,5,,,,5,,,
[reporter],[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks,[step],count turtles with [infected?],count turtles with [resistant?],ticks
[final],741,0,58,741,2902,0,96,2902,7236,0,107,7236
[min],0,0,0,0,0,0,0,0,0,0,0,0
[max],741,72,58,741,2902,118,96,2902,7236,132,107,7236
[mean],370.5,26.20080863,34.33018868,370.5,1451,33.00413365,74.93489494,1451,3618,26.65648749,87.89705679,3618
[total steps],741,741,741,741,2902,2902,2902,2902,7236,7236,7236,7236
,,,,,,,,,,,,
BehaviorSpace results (NetLogo 7.0.2),Spreadsheet version 2.0,,,,,,,,,,,
Virus on a Network.nlogox,,,,,,,,,,,,
recovery-chance,,,,,,,,,,,,
12/03/2025 14:25:02:154 +0800,,,,,,,,,,,,
